,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
1319,Phil Ford,Point Guard,1978,6-2,University of North Carolina,"Rocky Mount, North Carolina","February 9, 1956",Kansas City Kings,2nd overall,"Rocky Mount in Rocky Mount, North Carolina"
1321,Sherell Ford,Small Forward,1995,6-7,University of Illinois at Chicago,"Baton Rouge, Louisiana","August 26, 1972",Seattle SuperSonics,26th overall,"Proviso East in Maywood, Illinois"
1322,T.J. Ford,Point Guard,2003,6-0,University of Texas at Austin,"Houston, Texas","March 24, 1983",Milwaukee Bucks,8th overall,"Willowridge in Houston, Texas"
1324,Bayard Forrest,Center,1975,6-10,Grand Canyon University,"San Jose, California","July 8, 1954",Phoenix Suns,54th overall,"Bandon in Bandon, Oregon"
1325,Joseph Forte,Shooting Guard,2001,6-4,University of North Carolina,"Atlanta, Georgia","March 23, 1981",Boston Celtics,21st overall,"Dematha Catholic in Hyattsville, Maryland"
1327,Danny Fortson,Center and Power Forward,1997,6-7,University of Cincinnati,"Philadelphia, Pennsylvania","March 27, 1976",Milwaukee Bucks,10th overall,"Shaler Area in Pittsburgh, Pennsylvania"
1328,Fred Foster,Small Forward,1968,6-5,Miami University,"Springfield, Ohio","March 18, 1946",Cincinnati Royals,28th overall,"Springfield South in Springfield, Ohio"
1329,Greg Foster,Center and Power Forward,1990,6-11,"University of California, Los Angeles, University of Texas at El Paso","Oakland, California","October 3, 1968",Washington Bullets,35th overall,"Skyline in Oakland, California"
1330,Jeff Foster,Center,1999,6-11,Texas State University,"San Antonio, Texas","January 16, 1977",Golden State Warriors,21st overall,"James Madison in San Antonio, Texas"
1332,Rod Foster,Point Guard,1983,6-1,"University of California, Los Angeles","Birmingham, Alabama","October 10, 1960",Phoenix Suns,28th overall,"Saint Thomas Aquinas in New Britain, Connecticut"
1335,Larry Foust,Center,1950,6-9,La Salle University,"Painesville, Ohio","June 24, 1928",Chicago Stags,5th overall,"South Catholic in Philadelphia, Pennsylvania"
1338,Tremaine Fowlkes,Small Forward,1998,6-8,"University of California, California State University, Fresno","Los Angeles, California","April 11, 1976",Denver Nuggets,54th overall,"Crenshaw in Los Angeles, California"
1339,De'Aaron Fox,Point Guard,2017,6-3,University of Kentucky,"New Orleans, Louisiana","December 20, 1997",Sacramento Kings,5th overall,"Cypress Lakes in Katy, Texas"
1341,Jim Fox,Center,1965,6-10,University of South Carolina,"Atlanta, Georgia","April 7, 1943",Cincinnati Royals,67th overall,"Gordon in Barnesville, Georgia"
1342,Rick Fox,Small Forward,1991,6-7,University of North Carolina,"Toronto, Canada","July 24, 1969",Boston Celtics,24th overall,"Warsaw Community in Warsaw, Indiana"
1343,Randy Foye,Point Guard and Shooting Guard,2006,6-4,Villanova University,"Newark, New Jersey","September 24, 1983",Boston Celtics,7th overall,"East Side in Newark, New Jersey"
1344,Adonal Foyle,Center,1997,6-10,Colgate University,"Canouan, Saint Vincent and the Grenadines","March 9, 1975",Golden State Warriors,8th overall,"Hamilton Central in Hamilton, New York"
1346,Steve Francis,Shooting Guard and Point Guard,1999,6-3,University of Maryland,"Silver Spring, Maryland","February 21, 1977",Vancouver Grizzlies,2nd overall,"Montgomery Blair in Silver Spring, Maryland"
1347,Tellis Frank,Power Forward,1987,6-10,Western Kentucky University,"Gary, Indiana","April 26, 1965",Golden State Warriors,14th overall,"Lew Wallace in Gary, Indiana"
1349,Jamaal Franklin,Shooting Guard,2013,6-5,San Diego State University,"Moreno Valley, California","July 21, 1991",Memphis Grizzlies,41st overall,"Westwind Prep in Phoenix, Arizona"
1350,William Franklin,Power Forward,1972,6-7,Purdue University,"Norfolk, Virginia","October 19, 1949",Golden State Warriors,110th overall,"Norfolk in Norfolk, Virginia"
1351,Ronald Franz,Small Forward,1967,6-7,University of Kansas,"Kansas City, Kansas","October 20, 1945",Detroit Pistons,33rd overall,"Bishop Ward in Kansas City, Kansas"
1352,Melvin Frazier,Shooting Guard,2018,6-6,Tulane University,"New Orleans, Louisiana","August 30, 1996",Orlando Magic,35th overall,"L.W. Higgins in Marrero, Louisiana"
1354,Walt Frazier,Point Guard,1967,6-4,Southern Illinois University,"Atlanta, Georgia","March 29, 1945",New York Knicks,5th overall,"David T. Howard in Atlanta, Georgia"
1356,Anthony Frederick,Small Forward,1986,6-7,Pepperdine University,"Los Angeles, California","December 7, 1964",Denver Nuggets,133rd overall,"Gardena in Gardena, California"
1357,Jimmer Fredette,Shooting Guard and Point Guard,2011,6-2,Brigham Young University,"Glens Falls, New York","February 25, 1989",Milwaukee Bucks,10th overall,"Glens Falls in Glens Falls, New York"
1358,World B. Free,Point Guard and Shooting Guard,1975,6-2,Guilford College,"Atlanta, Georgia","December 9, 1953",Philadelphia 76ers,23rd overall,"Canarsie in Brooklyn, New York"
1360,Donnie Freeman,Shooting Guard and Point Guard,1966,6-3,University of Illinois at Urbana-Champaign,"Madison, Illinois","July 18, 1944",Philadelphia 76ers,29th overall,"Madison in Madison, Illinois"
1363,Matt Freije,Power Forward,2004,6-10,Vanderbilt University,"Overland Park, Kansas","October 2, 1981",Miami Heat,53rd overall,"Shawnee Mission West in Overland Park, Kansas"
1365,Larry Friend,Shooting Guard,1957,6-4,University of California,"Chicago, Illinois","April 14, 1935",New York Knicks,13th overall,"Fairfax in Los Angeles, California"
1368,Channing Frye,Center and Power Forward,2005,7-0,University of Arizona,"White Plains, New York","May 17, 1983",New York Knicks,8th overall,"Saint Mary's in Phoenix, Arizona"
1369,Bernie Fryer,Shooting Guard,1972,6-3,Brigham Young University,"Bellingham, Washington","December 25, 1949",Phoenix Suns,109th overall,"Port Angeles in Port Angeles, Washington"
1373,Carl Fuller,Center,1967,6-9,Bethune-Cookman College,"St. Augustine, Florida","January 10, 1946",St. Louis Hawks,73rd overall,"Murray in Saint Augustine, Florida"
1375,Todd Fuller,Center,1996,6-11,North Carolina State University,"Fayetteville, North Carolina","July 25, 1974",Golden State Warriors,11th overall,"Charlotte Christian in Charlotte, North Carolina"
1376,Tony Fuller,Shooting Guard,1980,6-4,Pepperdine University,"Detroit, Michigan","September 4, 1958",Detroit Pistons,93rd overall,"Saint Martin de Porres in Detroit, Michigan"
1377,Markelle Fultz,Shooting Guard,2017,6-4,University of Washington,"Upper Marlboro, Maryland","May 29, 1998",Philadelphia 76ers,1st overall,"DeMatha Catholic in Hyattsville, Maryland"
1378,Lawrence Funderburke,Power Forward,1994,6-9,"Indiana University, Ohio State University","Columbus, Ohio","December 15, 1970",Sacramento Kings,51st overall,"Wehrle in Columbus, Ohio"
1379,Terry Furlow,Shooting Guard,1976,6-4,Michigan State University,"Flint, Michigan","October 18, 1954",Philadelphia 76ers,12th overall,"Flint Northern in Flint, Michigan"
1381,Dan Gadzuric,Center and Power Forward,2002,6-11,"University of California, Los Angeles","Den Haag, Netherlands","February 2, 1978",Milwaukee Bucks,34th overall,"Governor Dummer Academy in Byfield, Massachusetts"
1385,Corey Gaines,Shooting Guard,1988,6-3,"University of California, Los Angeles, Loyola Marymount University","Los Angeles, California","June 1, 1965",Seattle SuperSonics,65th overall,"Saint Bernard in Playa del Rey, California"
1387,Reece Gaines,Point Guard,2003,6-6,University of Louisville,"Madison, Wisconsin","January 7, 1981",Orlando Magic,15th overall,"Madison West in Madison, Wisconsin"
1389,Mike Gale,Point Guard and Shooting Guard,1971,6-4,Elizabeth City State University,"Philadelphia, Pennsylvania","July 18, 1950",Chicago Bulls,47th overall,"Overbrook in Philadelphia, Pennsylvania"
1390,Chad Gallagher,Center,1991,6-10,Creighton University,"Rockford, Illinois","May 30, 1969",Phoenix Suns,32nd overall,"Boylan Central Catholic in Rockford, Illinois"
1391,Harry Gallatin,Power Forward and Small Forward,1948,6-6,Truman State University,"Roxana, Illinois","April 26, 1927",Baltimore Bullets,and New York Knicks,"Roxana in Roxana, Illinois"
1394,Dave Gambee,Small Forward and Power Forward,1958,6-6,Oregon State University,"Portland, Oregon","April 16, 1937",St. Louis Hawks,6th overall,"Corvallis in Corvallis, Oregon"
1395,Kevin Gamble,Small Forward,1987,6-5,University of Iowa,"Springfield, Illinois","November 13, 1965",Portland Trail Blazers,63rd overall,"Lanphier in Springfield, Illinois"
1400,Francisco Garcia,Small Forward and Shooting Guard,2005,6-7,University of Louisville,"Santo Domingo, Dominican Republic","December 31, 1981",Sacramento Kings,23rd overall,"Winchendon School in Winchendon, Massachusetts"
1405,Vern Gardner,Shooting Guard,1949,6-5,University of Utah,"Afton, Wyoming","May 14, 1925",Philadelphia Warriors,5th overall,"Star Valley in Afton, Wyoming"
1408,Gary Garland,Point Guard,1979,6-4,DePaul University,"East Orange, New Jersey","October 12, 1957",Denver Nuggets,30th overall,"Clifford J. Scott in East Orange, New Jersey"
1409,Winston Garland,Point Guard,1987,6-2,Missouri State University,"Gary, Indiana","December 19, 1964",Milwaukee Bucks,40th overall,"Roosevelt in Gary, Indiana"
1410,Dick Garmaker,Point Guard and Shooting Guard,1954,6-3,University of Minnesota,"Hibbing, Minnesota","October 29, 1932",Minneapolis Lakers,80th overall,"Hibbing in Hibbing, Minnesota"
1411,Bill Garner,Center,1962,6-10,University of Portland,"East St. Louis, Illinois","June 17, 1940",Los Angeles Lakers,68th overall,"East St. Louis in East St. Louis, Illinois"
1413,Bill Garnett,Center and Power Forward,1982,6-9,University of Wyoming,"Kansas City, Missouri","April 22, 1960",Dallas Mavericks,4th overall,"Regis in Denver, Colorado"
1417,Calvin Garrett,Small Forward,1979,6-7,"Austin Peay State University, Oral Roberts University","Parsons, Tennessee","July 11, 1956",Chicago Bulls,47th overall,"East in Nashville, Tennessee"
1418,Dean Garrett,Center,1988,6-10,Indiana University,"Los Angeles, California","November 27, 1966",Phoenix Suns,38th overall,"San Clemente in San Clemente, California"
1421,Rowland Garrett,Small Forward,1972,6-6,Florida State University,"Canton, Mississippi","July 16, 1950",Chicago Bulls,78th overall,"Rogers in Canton, Mississippi"
1422,Tom Garrick,Shooting Guard,1988,6-2,University of Rhode Island,"West Warwick, Rhode Island","July 7, 1966",Los Angeles Clippers,45th overall,"West Warwick in West Warwick, Rhode Island"
1423,John Garris,Power Forward,1983,6-8,"University of Michigan, Boston College","Bridgeport, Connecticut","June 6, 1959",Cleveland Cavaliers,27th overall,"Bassick in Bridgeport, Connecticut"
1425,Pat Garrity,Power Forward and Small Forward,1998,6-9,University of Notre Dame,"Las Vegas, Nevada","August 23, 1976",Milwaukee Bucks,19th overall,"Lewis Palmer in Monument, Colorado"
1430,Chris Gatling,Center and Power Forward,1991,6-10,Old Dominion University,"Elizabeth, New Jersey","September 3, 1967",Golden State Warriors,16th overall,"Elizabeth in Elizabeth, New Jersey"
1431,Kenny Gattison,Power Forward,1986,6-8,Old Dominion University,"Wilmington, North Carolina","May 23, 1964",Phoenix Suns,55th overall,"New Hanover in Wilmington, North Carolina"
1432,Rudy Gay,Power Forward and Small Forward,2006,6-8,University of Connecticut,"Baltimore, Maryland","August 17, 1986",Houston Rockets,8th overall,"Archbishop Spalding in Severn, Maryland"
1435,Michael Gbinije,Shooting Guard,2016,6-7,"Duke University, Syracuse University","Hartford, Connecticut","June 5, 1992",Detroit Pistons,49th overall,"Benedictine College Prep in Richmond, Virginia"
1436,Reggie Geary,Point Guard,1996,6-2,University of Arizona,"Trenton, New Jersey","August 31, 1973",Cleveland Cavaliers,56th overall,"Mater Dei in Santa Ana, California"
1438,Matt Geiger,Center,1992,7-0,"Auburn University, Georgia Institute of Technology","Salem, Massachusetts","September 10, 1969",Miami Heat,42nd overall,"Countryside in Clearwater, Florida"
1440,Devean George,Small Forward,1999,6-8,Augsburg College,"Minneapolis, Minnesota","August 29, 1977",Los Angeles Lakers,23rd overall,"Benilde-Saint Margaret in St. Louis Park, Minnesota"
1442,Paul George,Small Forward and Shooting Guard,2010,6-9,"California State University, Fresno","Palmdale, California","May 2, 1990",Indiana Pacers,10th overall,"Knight in Palmdale, California"
1443,Tate George,Shooting Guard and Point Guard,1990,6-5,University of Connecticut,"Newark, New Jersey","May 29, 1968",New Jersey Nets,22nd overall,"Union Catholic Regional in Scotch Plains, New Jersey"
1445,Gus Gerard,Small Forward,1975,6-8,University of Virginia,"Uniontown, Pennsylvania","July 27, 1953",Portland Trail Blazers,50th overall,"Laurel Highlands in Uniontown, Pennsylvania"
1446,Derrick Gervin,Power Forward,1985,6-8,University of Texas at San Antonio,"Detroit, Michigan","March 28, 1963",Philadelphia 76ers,90th overall,"Martin Luther King in Detroit, Michigan"
1447,George Gervin,Shooting Guard and Small Forward,1974,6-7,Eastern Michigan University,"Detroit, Michigan","April 27, 1952",Phoenix Suns,40th overall,"Martin Luther King in Detroit, Michigan"
1449,John Gianelli,Center,1972,6-10,University of the Pacific,"Stockton, California","June 10, 1950",Houston Rockets,20th overall,"Edison in Stockton, California"
1450,Dick Gibbs,Small Forward,1971,6-5,University of Texas at El Paso,"Ames, Iowa","December 20, 1948",Chicago Bulls,49th overall,"Ames in Ames, Iowa"
1451,Daniel Gibson,Shooting Guard and Point Guard,2006,6-2,University of Texas at Austin,"Houston, Texas","February 27, 1986",Cleveland Cavaliers,42nd overall,"Jones in Houston, Texas"
1455,Mel Gibson,Guard,1963,6-3,Western Carolina University,"Cordova, North Carolina","December 30, 1940",Los Angeles Lakers,16th overall,"Rockingham in Rockingham, North Carolina"
1456,Mike Gibson,Power Forward,1982,6-10,University of South Carolina Upstate,"Williamsburg County, South Carolina","October 27, 1960",Washington Bullets,44th overall,"Hemingway in Hemingway, South Carolina"
1457,Taj Gibson,Power Forward,2009,6-9,University of Southern California,"Brooklyn, New York","June 24, 1985",Chicago Bulls,26th overall,"Calvary Christian in San Fernando, California"
1458,J.R. Giddens,Small Forward,2008,6-5,"University of Kansas, University of New Mexico","Oklahoma City, Oklahoma","February 13, 1985",Boston Celtics,30th overall,"John Marshall in Oklahoma City, Oklahoma"
1460,Harry Giles,Power Forward,2017,6-10,Duke University,"Winston-Salem, North Carolina","April 22, 1998",Portland Trail Blazers,20th overall,"Forest Trail Academy in Kernersville, North Carolina"
1461,Shai Gilgeous-Alexander,Point Guard,2018,6-6,University of Kentucky,"Toronto, Canada","July 12, 1998",Charlotte Hornets,11th overall,"Hamilton Heights Christian HS in Chattanooga, Tennessee"
1463,Kendall Gill,Shooting Guard and Small Forward,1990,6-5,University of Illinois at Urbana-Champaign,"Chicago, Illinois","May 25, 1968",Charlotte Hornets,5th overall,"Rich Central in Olympia Fields, Illinois"
1467,Armen Gilliam,Power Forward and Small Forward,1987,6-9,"University of Nevada, Las Vegas","Pittsburgh, Pennsylvania","May 28, 1964",Phoenix Suns,2nd overall,"Bethel Park in Bethel Park, Pennsylvania"
1468,Herm Gilliam,Point Guard and Shooting Guard,1968,6-3,Purdue University,"Winston-Salem, North Carolina","May 5, 1946",Chicago Bulls,163rd overall,"Atkins in Winston-Salem, North Carolina"
1469,Artis Gilmore,Center,1971,7-2,"Gardner-Webb University, Jacksonville University","Chipley, Florida","September 21, 1949",Chicago Bulls,117th overall,"Carver in Dothan, Alabama"
1474,Jack Givens,Small Forward,1978,6-5,University of Kentucky,"Lexington, Kentucky","September 21, 1956",Atlanta Hawks,16th overall,"Bryan Station in Lexington, Kentucky"
1477,Gerald Glass,Small Forward,1990,6-5,"Delta State University, University of Mississippi","Greenwood, Mississippi","November 12, 1967",Minnesota Timberwolves,20th overall,"Amanda Elzy in Greenwood, Mississippi"
1478,Mike Glenn,Shooting Guard and Point Guard,1977,6-2,Southern Illinois University,"Rome, Georgia","September 10, 1955",Chicago Bulls,23rd overall,"Coosa in Rome, Georgia"
1482,Dion Glover,Shooting Guard,1999,6-5,Georgia Institute of Technology,"Marietta, Georgia","October 22, 1978",Atlanta Hawks,20th overall,"Cedar Grove in Ellenwood, Georgia"
1484,Mike Gminski,Center,1980,6-11,Duke University,"Monroe, Connecticut","August 3, 1959",New Jersey Nets,7th overall,"Masuk in Monroe, Connecticut"
1489,Anthony Goldwire,Point Guard,1994,6-1,University of Houston,"West Palm Beach, Florida","September 6, 1971",Phoenix Suns,52nd overall,"Suncoast in Riviera Beach, Florida"
1490,Ryan Gomes,Power Forward and Small Forward,2005,6-7,Providence College,"Waterbury, Connecticut","September 1, 1982",Boston Celtics,50th overall,"Wilby in Waterbury, Connecticut"
1491,Glen Gondrezick,Power Forward and Small Forward,1977,6-6,"University of Nevada, Las Vegas","Boulder, Colorado","August 30, 1955",New York Knicks,26th overall,"Boulder in Boulder, Colorado"
1492,Grant Gondrezick,Shooting Guard,1986,6-5,Pepperdine University,"Boulder, Colorado","January 19, 1963",Phoenix Suns,77th overall,"Boulder in Boulder, Colorado"
1493,Drew Gooden,Small Forward and Center and Power Forward,2002,6-10,University of Kansas,"Oakland, California","September 24, 1981",Memphis Grizzlies,4th overall,"El Cerrito in El Cerrito, California"
1496,Archie Goodwin,Point Guard and Shooting Guard,2013,6-5,University of Kentucky,"Little Rock, Arkansas","August 17, 1994",Oklahoma City Thunder,29th overall,"Sylvan Hills in Sherwood, Arkansas"
1499,Aaron Gordon,Power Forward and Small Forward,2014,6-9,University of Arizona,"San Jose, California","September 16, 1995",Orlando Magic,4th overall,"Archbishop Mitty in San Jose, California"
1500,Ben Gordon,Shooting Guard,2004,6-3,University of Connecticut,"London, United Kingdom","April 4, 1983",Chicago Bulls,3rd overall,"Mount Vernon in Mount Vernon, New York"
1502,Eric Gordon,Shooting Guard and Point Guard,2008,6-4,Indiana University,"Indianapolis, Indiana","December 25, 1988",Los Angeles Clippers,7th overall,"North Central in Indianapolis, Indiana"
1503,Lancaster Gordon,Shooting Guard,1984,6-3,University of Louisville,"Jackson, Mississippi","June 24, 1962",Los Angeles Clippers,8th overall,"Jim Hill in Jackson, Mississippi"
1507,Andrew Goudelock,Point Guard and Shooting Guard,2011,6-3,College of Charleston,"Gainesville, Georgia","December 7, 1988",Los Angeles Lakers,46th overall,"Stone Mountain in Stone Mountain, Georgia"
1508,Gerald Govan,Power Forward and Center,1964,6-10,Saint Mary of the Plains College,"Jersey City, New Jersey","January 2, 1942",St. Louis Hawks,88th overall,"Snyder in Jersey City, New Jersey"
1511,Ricky Grace,Point Guard,1988,6-1,"Midland College, University of Oklahoma","Dallas, Texas","August 20, 1967",Utah Jazz,67th overall,"Wilmer-Hutchins in Dallas, Texas"
1513,Devonte' Graham,Point Guard,2018,6-2,University of Kansas,"Raleigh, North Carolina","February 22, 1995",Atlanta Hawks,34th overall,"Brewster Academy in Wolfeboro, New Hampshire"
1514,Greg Graham,Shooting Guard,1993,6-4,Indiana University,"Indianapolis, Indiana","November 26, 1970",Charlotte Hornets,17th overall,"Warren Central in Indianapolis, Indiana"
1515,Joey Graham,Small Forward,2005,6-7,"University of Central Florida, Oklahoma State University","Wilmington, Delaware","June 11, 1982",Toronto Raptors,16th overall,"Brandon in Brandon, Florida"
1517,Orlando Graham,Power Forward,1988,6-8,"West Texas A&M University, Auburn University at Montgomery","Montgomery, Alabama","May 5, 1965",Miami Heat,40th overall,"Sidney Lanier in Montgomery, Alabama"
1521,Jim Grandholm,Power Forward,1984,7-0,"University of Florida, University of South Florida","Elkhart, Indiana","October 4, 1960",Washington Bullets,76th overall,"Central in Elkhart, Indiana"
1522,Ron Grandison,Power Forward,1987,6-6,"University of California, Irvine, University of New Orleans","Los Angeles, California","July 9, 1964",Denver Nuggets,100th overall,"Saint Bernard in Playa del Rey, California"
1523,Danny Granger,Small Forward,2005,6-9,"Bradley University, University of New Mexico","New Orleans, Louisiana","April 20, 1983",Indiana Pacers,17th overall,"Grace King in Metairie, Louisiana"
1524,Stewart Granger,Point Guard,1983,6-3,Villanova University,"Montreal, Canada","October 27, 1961",Cleveland Cavaliers,24th overall,"Nazareth Regional in Brooklyn, New York"
1525,Brian Grant,Small Forward and Power Forward and Center,1994,6-9,Xavier University,"Columbus, Ohio","March 5, 1972",Sacramento Kings,8th overall,"Georgetown in Georgetown, Ohio"
1527,Gary Grant,Point Guard,1988,6-3,University of Michigan,"Canton, Ohio","April 21, 1965",Seattle SuperSonics,15th overall,"McKinley in Canton, Ohio"
1528,Greg Grant,Point Guard,1989,5-7,Trenton State University,"Trenton, New Jersey","August 29, 1966",Phoenix Suns,52nd overall,"Central in Trenton, New Jersey"
1529,Harvey Grant,Small Forward and Power Forward,1988,6-8,"Clemson University, University of Oklahoma","Augusta, Georgia","July 4, 1965",Washington Bullets,12th overall,"Hancock Central in Sparta, Georgia"
1530,Horace Grant,Center and Power Forward,1987,6-10,Clemson University,"Augusta, Georgia","July 4, 1965",Chicago Bulls,10th overall,"Hancock Central in Sparta, Georgia"
1531,Jerami Grant,Small Forward and Power Forward,2014,6-9,Syracuse University,"Portland, Oregon","March 12, 1994",Philadelphia 76ers,39th overall,"DeMatha in Hyattsville, Maryland"
1532,Jerian Grant,Point Guard,2015,6-4,University of Notre Dame,"Silver Spring, Maryland","October 9, 1992",Washington Wizards,19th overall,"DeMatha in Hyattsville, Maryland"
1533,Josh Grant,Power Forward,1993,6-9,University of Utah,"Salt Lake City, Utah","August 7, 1967",Denver Nuggets,43rd overall,"East in Salt Lake City, Utah"
1534,Paul Grant,Center,1997,7-0,"Boston College, University of Wisconsin","Pittsburgh, Pennsylvania","January 6, 1974",Minnesota Timberwolves,20th overall,"Brother Rice in Birmingham, Michigan"
1535,Travis Grant,Small Forward,1972,6-7,Kentucky State University,"Clayton, Alabama","January 1, 1950",Los Angeles Lakers,13th overall,"Barbour County Training School in Clayton, Alabama"
1538,Butch Graves,Shooting Guard,1984,6-3,Yale University,"Scarsdale, New York","January 5, 1962",Philadelphia 76ers,68th overall,"Scarsdale in Scarsdale, New York"
1539,Aaron Gray,Center,2007,7-0,University of Pittsburgh,"Tarzana, California","December 7, 1984",Chicago Bulls,49th overall,"Emmaus in Emmaus, Pennsylvania"
1541,Ed Gray,Shooting Guard,1997,6-3,"University of Tennessee, University of California","Riverside, California","September 27, 1975",Atlanta Hawks,22nd overall,"North in Riverside, California"
1545,Leonard Gray,Power Forward,1973,6-8,"California State University, Long Beach","Kansas City, Kansas","December 19, 1951",Atlanta Hawks,45th overall,"Sumner in Kansas City, Kansas"
1546,Stuart Gray,Center,1984,7-0,"University of California, Los Angeles","Panama Canal Zone, Panama","May 27, 1963",Indiana Pacers,29th overall,"John F. Kennedy in Granada Hills, California"
1547,Sylvester Gray,Small Forward,1988,6-6,University of Memphis,"Millington, Tennessee","July 8, 1967",Miami Heat,35th overall,"Bolton in Arlington, Tennessee"
1549,Jeff Grayer,Shooting Guard and Small Forward,1988,6-5,Iowa State University,"Flint, Michigan","December 17, 1965",Milwaukee Bucks,13th overall,"Flint Northwestern in Flint, Michigan"
1551,A.C. Green,Power Forward and Small Forward,1985,6-9,Oregon State University,"Portland, Oregon","October 4, 1963",Los Angeles Lakers,23rd overall,"Benson Polytechnic in Portland, Oregon"
1552,Danny Green,Shooting Guard,2009,6-6,University of North Carolina,"North Babylon, New York","June 22, 1987",Cleveland Cavaliers,46th overall,"St. Mary's in Manhasset, New York"
1554,Draymond Green,Small Forward and Power Forward,2012,6-7,Michigan State University,"Saginaw, Michigan","March 4, 1990",Golden State Warriors,35th overall,"Saginaw in Saginaw, Michigan"
1555,Erick Green,Point Guard,2013,6-4,Virginia Polytechnic Institute and State University,"Inglewood, California","May 9, 1991",Utah Jazz,46th overall,"Paul VI in Fairfax, Virginia"
1558,Jeff Green,Small Forward and Power Forward,2007,6-9,Georgetown University,"Cheverly, Maryland","August 28, 1986",Boston Celtics,5th overall,"Northwestern in Hyattsville, Maryland"
1559,Johnny Green,Power Forward,1959,6-5,Michigan State University,"Dayton, Ohio","December 8, 1933",New York Knicks,5th overall,"Paul Laurence Dunbar in Dayton, Ohio"
1560,Ken Green,Power Forward,1981,6-8,University of Texas-Pan American,"Newman, Georgia","September 19, 1959",Denver Nuggets,34th overall,"Newman in Newman, Georgia"
1561,Kenny Green,Small Forward,1985,6-6,Wake Forest University,"Eustis, Florida","October 11, 1964",Washington Bullets,12th overall,"Eustis in Eustis, Florida"
1562,Lamar Green,Center and Power Forward,1969,6-7,Morehead State University,"Birmingham, Alabama","March 22, 1947",Phoenix Suns,33rd overall,"Carver in Birmingham, Alabama"
1563,Litterial Green,Point Guard,1992,6-1,University of Georgia,"Pascagoula, Mississippi","March 7, 1970",Chicago Bulls,39th overall,"Moss Point in Moss Point, Mississippi"
1564,Luther Green,Power Forward,1969,6-7,Long Island University,"New York, New York","November 13, 1946",Cincinnati Royals,41st overall,"DeWitt Clinton in Bronx, New York"
1565,Mike Green,Center,1973,6-10,Louisiana Tech University,"McComb, Mississippi","August 6, 1951",Seattle SuperSonics,4th overall,"Higgins in McComb, Mississippi"
1566,Rickey Green,Point Guard,1977,6-0,University of Michigan,"Chicago, Illinois","August 18, 1954",Golden State Warriors,16th overall,"Hirsch Metro in Chicago, Illinois"
1567,Sean Green,Shooting Guard,1991,6-5,"North Carolina State University, Iona College","Santa Monica, California","February 2, 1970",Indiana Pacers,41st overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
1568,Si Green,Shooting Guard and Point Guard,1956,6-2,Duquesne University,"New York, New York","August 20, 1933",Rochester Royals,1st overall,"Boys in Brooklyn, New York"
1569,Sidney Green,Center and Power Forward,1983,6-9,"University of Nevada, Las Vegas","Brooklyn, New York","January 4, 1961",Chicago Bulls,5th overall,"Thomas Jefferson in Brooklyn, New York"
1570,Steve Green,Small Forward,1975,6-7,Indiana University,"Madison, Wisconsin","October 4, 1953",Chicago Bulls,30th overall,"Silver Creek in Sellersburg, Indiana"
1571,Taurean Green,Shooting Guard and Point Guard,2007,6-0,University of Florida,"Fort Lauderdale, Florida","November 28, 1986",Portland Trail Blazers,52nd overall,"Cardinal Gibbons in Ft. Lauderdale, Florida"
1572,Tommie Green,Point Guard,1978,6-2,Southern University and A&M College,"Baton Rouge, Louisiana","April 8, 1956",New Orleans Jazz,35th overall,"McKinley in Baton Rouge, Louisiana"
1573,Willie Green,Shooting Guard,2003,6-4,University of Detroit Mercy,"Detroit, Michigan","July 28, 1981",Seattle SuperSonics,41st overall,"Cooley in Detroit, Michigan"
1574,Donte Greene,Small Forward and Power Forward,2008,6-11,Syracuse University,"Munich, Germany","February 21, 1988",Memphis Grizzlies,28th overall,"Towson Catholic in Towson, Maryland"
1575,Orien Greene,Point Guard and Shooting Guard,2005,6-4,"University of Florida, University of Louisiana at Lafayette","Gainesville, Florida","February 4, 1982",Boston Celtics,53rd overall,"Gainesville in Gainesville, Florida"
1577,Dave Greenwood,Power Forward,1979,6-9,"University of California, Los Angeles","Lynwood, California","May 27, 1957",Chicago Bulls,2nd overall,"Verbum Dei in Los Angeles, California"
1578,Hal Greer,Point Guard and Shooting Guard,1958,6-2,Marshall University,"Huntington, West Virginia","June 26, 1936",Syracuse Nationals,13th overall,"Douglass in Huntington, West Virginia"
1580,Gary Gregor,Small Forward and Power Forward,1967,6-7,University of South Carolina,"Charlestown, West Virginia","August 13, 1945",New York Knicks,24th overall,"South Charleston in Charleston, West Virginia"
1581,Claude Gregory,Power Forward,1981,6-8,University of Wisconsin,"Washington, District of Columbia","December 26, 1958",Washington Bullets,41st overall,"Coolidge in Washington, District of Columbia"
1582,John Greig,Small Forward,1982,6-7,University of Oregon,"Sacramento, California","April 28, 1961",Seattle SuperSonics,65th overall,"Timberline in Olympia, Washington"
1584,Kevin Grevey,Shooting Guard and Small Forward,1975,6-5,University of Kentucky,"Hamilton, Ohio","May 12, 1953",Washington Bullets,18th overall,"Taft in Hamilton, Ohio"
1587,Blake Griffin,Power Forward,2009,6-10,University of Oklahoma,"Oklahoma City, Oklahoma","March 16, 1989",Los Angeles Clippers,1st overall,"Oklahoma Christian School in Edmond, Oklahoma"
